feature_name,Supergroup,MapSymbol,X,Y,Z,coord,val,strike,dip,gx,gy,gz,intrusion_contact_type,intrusion_side,intrusion_anisotropy,,,
fault_4b,,,535956.274,5258276.15,105,0,0,,,,,,,,,,,
fault_4b,,,536008.45,5258115.019,94,0,0,,,,,,,,,,,
fault_4b,,,536054.487,5257973.837,68,0,0,,,,,,,,,,,
fault_4b,,,536181.858,5257617.046,45,0,0,,,,,,,,,,,
fault_4b,,,536289.279,5257291.714,45,0,0,,,,,,,,,,,
fault_4b,,,536407.442,5257010.502,53,0,0,,,,,,,,,,,
fault_4b,,,536448.875,5256898.477,60,0,0,,,,,,,,,,,
fault_4b,,,536524.07,5256732.742,69,0,0,,,,,,,,,,,
fault_4b,,,536623.818,5256508.693,103,0,0,,,,,,,,,,,
fault_4b,,,536699.78,5256365.209,80,0,0,,,,,,,,,,,
fault_4b,,,536877.792,5256139.626,112,0,0,,,,,,,,,,,
fault_4b,,,537091.099,5255857.262,99,0,0,,,,,,,,,,,
fault_4b,,,537249.161,5255673.112,102,0,0,,,,,,,,,,,
fault_4b,,,537417.965,5255508.144,91,0,0,,,,,,,,,,,
fault_4b,,,537576.795,5255368.881,105,0,0,,,,,,,,,,,
fault_4b,,,537676.543,5255301.359,97,0,0,,,,,,,,,,,
fault_4b,,,537803.913,5255204.68,107,0,0,,,,,,,,,,,
fault_4b,,,537984.227,5254997.895,104,0,0,,,,,,,,,,,
fault_4b,,,538036.403,5254899.682,111,0,0,,,,,,,,,,,
fault_4b,,,538071.698,5254810.676,123,0,0,,,,,,,,,,,
fault_4b,,,538157.635,5254623.456,129,0,0,,,,,,,,,,,
fault_4b,,,538202.138,5254506.828,134,0,0,,,,,,,,,,,
fault_4b,,,538293.445,5254255.54,128,0,0,,,,,,,,,,,
fault_4b,,,538347.156,5254100.547,103,0,0,,,,,,,,,,,
fault_4b,,,538449.973,5253624.059,101,0,0,,,,,,,,,,,
fault_4b,,,538466.853,5253518.172,97,0,0,,,,,,,,,,,
fault_4b,,,538472.992,5253430.701,98,0,0,,,,,,,,,,,
fault_4b,,,538431.558,5253327.884,95,0,0,,,,,,,,,,,
fault_4b,,,538390.124,5253218.928,84,0,0,,,,,,,,,,,
fault_4b,,,538345.621,5253111.508,87,0,0,,,,,,,,,,,
fault_4b,,,538324.904,5253057.03,96,0,0,,,,,,,,,,,
fault_4b,,,538214.414,5252749.729,120,0,0,,,,,,,,,,,
fault_4b,,,538201.817,5252741.463,120,0,0,,,,,,,,,,,
fault_4b,,,538340.883,5252445.125,114,0,0,,,,,,,,,,,
fault_4b,,,538666.665,5251824.378,79,0,0,,,,,,,,,,,
fault_4b,,,538748.111,5251657.085,77,0,0,,,,,,,,,,,
fault_4b,,,538785.532,5251549.225,69,0,0,,,,,,,,,,,
fault_4b,,,538814.148,5251454.572,67,0,0,,,,,,,,,,,
fault_4b,,,538895.593,5251269.668,62,0,0,,,,,,,,,,,
fault_4b,,,539001.252,5251007.722,59,0,0,,,,,,,,,,,
fault_4b,,,539120.119,5250719.361,50,0,0,,,,,,,,,,,
fault_4b,,,539159.741,5250494.835,44,0,0,,,,,,,,,,,
fault_4b,,,539289.614,5250133.833,17,0,0,,,,,,,,,,,
fault_4b,,,537417.965,5255508.144,91,0,,,,0.7,0.7,0.17,,,,,,
fault_4b,,,537417.965,5255508.144,91,1,0,,,,,,,,,,,
fault_4b,,,537417.965,5255508.144,91,1,,,,0.12,0.12,-0.98,,,,,,
pi_fault_1,,,517433.981,5245779.599,498,0,0,,,,,,,,,,,
pi_fault_1,,,517591.748,5245769.739,571,0,0,,,,,,,,,,,
pi_fault_1,,,517981.235,5245833.832,699,0,0,,,,,,,,,,,
pi_fault_1,,,518464.397,5245883.134,700,0,0,,,,,,,,,,,
pi_fault_1,,,518883.466,5245986.669,722,0,0,,,,,,,,,,,
pi_fault_1,,,519544.115,5246208.529,582,0,0,,,,,,,,,,,
pi_fault_1,,,519844.859,5246331.784,443,0,0,,,,,,,,,,,
pi_fault_1,,,520337.881,5246602.946,409,0,0,,,,,,,,,,,
pi_fault_1,,,518883.466,5245986.669,722,0,,,,0.5,-0.86,0,,,,,,
pi_fault_1,,,518883.466,5245986.669,722,1,0,,,,,,,,,,,
pi_fault_1,,,518883.466,5245986.669,722,1,,,,0,0,-1,,,,,,
pi_fault_10,,,525258.429,5260252.848,36,0,0,,,,,,,,,,,
pi_fault_10,,,528340.193,5266485.149,203,0,0,,,,,,,,,,,
pi_fault_10,,,525692.422,5261119.767,309,0,0,,,,,,,,,,,
pi_fault_10,,,526166.11,5262026.829,203,0,0,,,,,,,,,,,
pi_fault_10,,,526629.72,5263014.519,168,0,0,,,,,,,,,,,
pi_fault_10,,,527093.33,5263921.581,210,0,0,,,,,,,,,,,
pi_fault_10,,,527677.881,5265070.527,360,0,0,,,,,,,,,,,
pi_fault_10,,,527949.999,5265634.921,339,0,0,,,,,,,,,,,
pi_fault_10,,,527093.33,5263921.581,210,0,,,,0.9,-0.4,0,,,,,,
pi_fault_10,,,527093.33,5263921.581,210,1,0,,,,,,,,,,,
pi_fault_10,,,527093.33,5263921.581,210,1,,,,0,0,-1,,,,,,
pi_fault_2,,,515094.333,5239818.132,216,0,0,,,,,,,,,,,
pi_fault_2,,,515509.17,5240578.665,166,0,0,,,,,,,,,,,
pi_fault_2,,,515775.85,5241033.01,175,0,0,,,,,,,,,,,
pi_fault_2,,,516003.023,5241650.326,150,0,0,,,,,,,,,,,
pi_fault_2,,,516054.877,5241798.482,162,0,0,,,,,,,,,,,
pi_fault_2,,,516106.732,5241993.554,193,0,0,,,,,,,,,,,
pi_fault_2,,,516190.687,5242203.441,209,0,0,,,,,,,,,,,
pi_fault_2,,,516240.072,5242359.005,202,0,0,,,,,,,,,,,
pi_fault_2,,,516287.704,5242473.064,200,0,0,,,,,,,,,,,
pi_fault_2,,,516530.928,5242966.086,200,0,0,,,,,,,,,,,
pi_fault_2,,,516741.284,5243399.946,220,0,0,,,,,,,,,,,
pi_fault_2,,,516938.493,5243689.185,241,0,0,,,,,,,,,,,
pi_fault_2,,,517175.144,5244017.867,276,0,0,,,,,,,,,,,
pi_fault_2,,,517352.632,5244215.076,290,0,0,,,,,,,,,,,
pi_fault_2,,,517477.531,5244326.827,301,0,0,,,,,,,,,,,
pi_fault_2,,,517628.724,5244418.858,327,0,0,,,,,,,,,,,
pi_fault_2,,,517977.127,5244517.463,396,0,0,,,,,,,,,,,
pi_fault_2,,,518325.529,5244616.067,433,0,0,,,,,,,,,,,
pi_fault_2,,,519324.72,5244846.144,397,0,0,,,,,,,,,,,
pi_fault_2,,,519719.138,5244977.617,389,0,0,,,,,,,,,,,
pi_fault_2,,,520583.479,5245117.994,453,0,0,,,,,,,,,,,
pi_fault_2,,,521898.719,5245117.994,156,0,0,,,,,,,,,,,
pi_fault_2,,,516741.284,5243399.946,220,0,,,,0.7,-0.7,0,,,,,,
pi_fault_2,,,516741.284,5243399.946,220,1,0,,,,,,,,,,,
pi_fault_2,,,516741.284,5243399.946,220,1,,,,0,0,-1,,,,,,
pi_fault_4,,,523345.999,5246048.087,249,0,0,,,,,,,,,,,
pi_fault_4,,,523879.36,5246344.398,288,0,0,,,,,,,,,,,
pi_fault_4,,,524175.672,5246640.71,337,0,0,,,,,,,,,,,
pi_fault_4,,,524649.77,5247203.702,222,0,0,,,,,,,,,,,
pi_fault_4,,,524886.82,5247559.277,164,0,0,,,,,,,,,,,
pi_fault_4,,,524972,5247929,192,0,0,,,,,,,,,,,
pi_fault_4,,,525331.287,5248418.581,210,0,0,,,,,,,,,,,
pi_fault_4,,,525627.599,5248863.048,251,0,0,,,,,,,,,,,
pi_fault_4,,,525953.542,5249307.516,173,0,0,,,,,,,,,,,
pi_fault_4,,,526279.485,5249603.828,74,0,0,,,,,,,,,,,
pi_fault_4,,,524972,5247929,192,0,,,,0.83,-0.5,0,,,,,,
pi_fault_4,,,524972,5247929,192,1,0,,,,,,,,,,,
pi_fault_4,,,524972,5247929,192,1,,,,0,0,-1,,,,,,
pi_fault_5,,,517922.474,5253807.234,459,0,0,,,,,,,,,,,
pi_fault_5,,,518001.061,5254288.575,370,0,0,,,,,,,,,,,
pi_fault_5,,,518109.117,5254642.212,468,0,0,,,,,,,,,,,
pi_fault_5,,,518325.229,5255251.255,325,0,0,,,,,,,,,,,
pi_fault_5,,,518445.642,5255806.619,350,0,0,,,,,,,,,,,
pi_fault_5,,,518629.75,5256213.936,499,0,0,,,,,,,,,,,
pi_fault_5,,,518836.039,5256675.63,421,0,0,,,,,,,,,,,
pi_fault_5,,,519071.797,5257068.561,318,0,0,,,,,,,,,,,
pi_fault_5,,,519268.263,5257363.259,358,0,0,,,,,,,,,,,
pi_fault_5,,,519401.176,5257689.136,336,0,0,,,,,,,,,,,
pi_fault_5,,,518629.75,5256213.936,499,0,,,,0.9,-0.4,0,,,,,,
pi_fault_5,,,518629.75,5256213.936,499,1,0,,,,,,,,,,,
pi_fault_5,,,518629.75,5256213.936,499,1,,,,0,0,-1,,,,,,
pi_fault_6,,,534478.21,5255512.054,144,0,0,,,,,,,,,,,
pi_fault_6,,,534794.84,5256182.567,120,0,0,,,,,,,,,,,
pi_fault_6,,,535102.908,5256816.831,99,0,0,,,,,,,,,,,
pi_fault_6,,,535236.348,5257153.092,69,0,0,,,,,,,,,,,
pi_fault_6,,,534794.84,5256182.567,120,0,,,,0.89,-0.43,0,,,,,,
pi_fault_6,,,534794.84,5256182.567,120,1,0,,,,,,,,,,,
pi_fault_6,,,534794.84,5256182.567,120,1,,,,0,0,-1,,,,,,
pi_fault_7,,,529062.41,5253579.813,33,0,0,,,,,,,,,,,
pi_fault_7,,,529163.195,5253791.461,48,0,0,,,,,,,,,,,
pi_fault_7,,,529596.569,5254466.718,55,0,0,,,,,,,,,,,
pi_fault_7,,,530231.513,5255252.839,59,0,0,,,,,,,,,,,
pi_fault_7,,,530644.73,5255776.919,76,0,0,,,,,,,,,,,
pi_fault_7,,,531003.861,5256299.138,150,0,0,,,,,,,,,,,
pi_fault_7,,,531161.033,5257222.526,257,0,0,,,,,,,,,,,
pi_fault_7,,,531455.731,5258067.327,332,0,0,,,,,,,,,,,
pi_fault_7,,,531658.265,5258654.337,293,0,0,,,,,,,,,,,
pi_fault_7,,,531970.772,5259014.595,334,0,0,,,,,,,,,,,
pi_fault_7,,,532320.179,5259383.645,390,0,0,,,,,,,,,,,
pi_fault_7,,,531455.731,5258067.327,332,0,,,,0.97,-0.2,0,,,,,,
pi_fault_7,,,531455.731,5258067.327,332,1,0,,,,,,,,,,,
pi_fault_7,,,531455.731,5258067.327,332,1,,,,0,0,-1,,,,,,
pi_fault_8,,,535393.956,5248481.361,4,0,0,,,,,,,,,,,
pi_fault_8,,,534667.57,5248425.485,59,0,0,,,,,,,,,,,
pi_fault_8,,,534421.059,5248402.477,64,0,0,,,,,,,,,,,
pi_fault_8,,,535623.254,5248504.372,0,0,0,,,,,,,,,,,
pi_fault_8,,,536310.883,5248514.195,0,0,0,,,,,,,,,,,
pi_fault_8,,,536811.87,5248533.841,0,0,0,,,,,,,,,,,
pi_fault_8,,,537352.15,5248632.074,0,0,0,,,,,,,,,,,
pi_fault_8,,,537754.904,5248759.777,0,0,0,,,,,,,,,,,
pi_fault_8,,,538314.831,5248926.772,0,0,0,,,,,,,,,,,
pi_fault_8,,,538727.408,5249093.768,0,0,0,,,,,,,,,,,
pi_fault_8,,,539139.986,5249211.647,0,0,0,,,,,,,,,,,
pi_fault_8,,,539473.977,5249309.88,1,0,0,,,,,,,,,,,
pi_fault_8,,,539916.024,5249358.996,1,0,0,,,,,,,,,,,
pi_fault_8,,,537352.15,5248632.074,0,0,,,,0.43,-0.89,0,,,,,,
pi_fault_8,,,537352.15,5248632.074,0,1,0,,,,,,,,,,,
pi_fault_8,,,537352.15,5248632.074,0,1,,,,0,0,-1,,,,,,
pi_fault_9,,,513197.536,5258081.424,557,0,0,,,,,,,,,,,
pi_fault_9,,,514121.229,5258803.364,522,0,0,,,,,,,,,,,
pi_fault_9,,,514677.145,5259456.159,203,0,0,,,,,,,,,,,
pi_fault_9,,,515173.563,5260279.023,454,0,0,,,,,,,,,,,
pi_fault_9,,,515374.485,5261165.435,600,0,0,,,,,,,,,,,
pi_fault_9,,,515484.169,5261939.165,801,0,0,,,,,,,,,,,
pi_fault_9,,,515849.266,5262722.199,794,0,0,,,,,,,,,,,
pi_fault_9,,,515794.77,5262893.218,800,0,0,,,,,,,,,,,
pi_fault_9,,,515173.563,5260279.023,454,0,,,,0.9,-0.4,0,,,,,,
pi_fault_9,,,515173.563,5260279.023,454,1,0,,,,,,,,,,,
pi_fault_9,,,515173.563,5260279.023,454,1,,,,0,0,-1,,,,,,
Sill_a1,n/a,n/a,512127.07,5242841.953,463,,,,,,,,dyke,,,,,
Sill_a1,n/a,n/a,512927.478,5242980.959,407,,,,,,,,dyke,,,,,
Sill_a1,n/a,n/a,522922.357,5253787.827,144,,,,,,,,fault,,,,,
Sill_a1,n/a,n/a,525791.203,5254276.816,71,,,,,,,,fault,,,,,
Sill_a1,n/a,n/a,529504.616,5247615.794,7,,,,,,,,fault,,,,,
Sill_a1,n/a,n/a,529372.676,5248255.789,20,,,,,,,,fault,,,,,
Sill_a1,n/a,n/a,521552.162,5241393.802,177,,,,,,,,fault,,,,,
Sill_a1,n/a,n/a,513253.531,5241943.948,376,,,,,,,,fault,,,,,
Sill_a1,n/a,n/a,526560.511,5253156.309,25,,,,,,,,fault,,,,,
Sill_a1,n/a,n/a,516295.514,5242516.532,195,,,,,,,,fault,,,,,
Sill_a1,n/a,n/a,525480.184,5243865.817,20,,,,,,,,fault,,,,,
Sill_a1,n/a,n/a,517721.964,5244510.558,356,,,,,,,,fault,,,,,
Sill_a1,n/a,n/a,525387.057,5244844.819,60,,,,,,,,fault,,,,,
Sill_a1,n/a,n/a,524833.236,5250482.315,126,,,,,,,,fault,,,,,
Sill_a1,n/a,n/a,524401.061,5251091.816,117,,,,,,,,fault,,,,,
Sill_a1,n/a,n/a,524395.764,5251150.316,141,,,,,,,,fault,,,,,
Sill_a1,n/a,n/a,521388.891,5241894.807,143,,,,,,,,fault,,,,,
Sill_a1,n/a,n/a,520901.677,5241984.306,195,,,,,,,,fault,,,,,
Sill_a1,n/a,n/a,522070.845,5248121.816,379,,,,,,,,fault,,,,,
Sill_a1,n/a,n/a,517556.933,5244491.058,327,,,,,,,,fault,,,,,
Sill_a1,n/a,n/a,518814.244,5244850.553,411,,,,,,,,fault,,,,,
Sill_a1,Pua,Pua,525771.922,5242996.306,14,,,,,,,,floor,,Tasmanian Basin,,,
Sill_a1,Rqp,Rqp,524315.232,5252834.816,199,,,,,,,,floor,,Tasmanian Basin,,,
Sill_a1,Rqp,Rqp,524250.515,5253359.318,161,,,,,,,,floor,,Tasmanian Basin,,,
Sill_a1,Pum,Pum,528483.097,5246612.809,111,,,,,,,,floor,,Tasmanian Basin,,,
